feature,feature_value,shap_value,absolute_shap
V243,6.0,0.013014724926537859,0.013014724926537859
V53,0.0,-0.012773797874187027,0.012773797874187027
V317,0.0,-0.012677953485861317,0.012677953485861317
V264,859.1727294921875,0.012007604386236333,0.012007604386236333
V81,1.0,-0.011651763052509239,0.011651763052509239
D5,0.0,-0.011561244448486573,0.011561244448486573
D13,0.0,0.011260009273563467,0.011260009273563467
V171,10.0,0.0111780198557969,0.0111780198557969
V125,3.0,0.011089026774008953,0.011089026774008953
V99,0.0,0.011025709320766637,0.011025709320766637
V273,643.2919921875,0.010589148973157431,0.010589148973157431
id_19,266.0,0.010536127956855431,0.010536127956855431
V272,22.47620010375977,-0.010382075227790975,0.010382075227790975
id_29,0.0,0.009981457994684244,0.009981457994684244
V206,0.0,0.00997951338997422,0.00997951338997422
V40,1.0,0.009547101306450497,0.009547101306450497
V326,0.0,0.009436092416006278,0.009436092416006278
V86,3.0,0.008799430287236742,0.008799430287236742
V75,0.0,-0.008095108178539834,0.008095108178539834
C3,0.0,0.008014062817458728,0.008014062817458728
V94,1.0,0.007685678877469548,0.007685678877469548
V312,0.0,-0.007658780006423235,0.007658780006423235
C7,8.0,0.007564083159102323,0.007564083159102323
V169,0.0,0.007465825795980449,0.007465825795980449
V248,2.0,0.007295885002669521,0.007295885002669521
M3,2.0,-0.007081739868176023,0.007081739868176023
C4,8.0,-0.007057931940850647,0.007057931940850647
V92,1.0,-0.006462560299156388,0.006462560299156388
V12,0.0,-0.006324496360961774,0.006324496360961774
V229,11.0,0.005751536866008326,0.005751536866008326
V71,1.0,-0.0057291007166740395,0.0057291007166740395
V307,0.0,0.005572269406022814,0.005572269406022814
V37,3.0,-0.005389385572452199,0.005389385572452199
V283,1.0,-0.005329428848371477,0.005329428848371477
V173,0.0,0.0052153576420489785,0.0052153576420489785
V267,50.0276985168457,-0.004968070358990146,0.004968070358990146
V313,0.0,0.004704593094395844,0.004704593094395844
V323,0.0,0.004634533974317621,0.004634533974317621
V316,0.0,0.004360776499690784,0.004360776499690784
card4,2.0,-0.004344371165880245,0.004344371165880245
V76,0.0,0.0042679297283189956,0.0042679297283189956
V205,0.0,0.004094726986641706,0.004094726986641706
V97,2.0,0.003984853777137675,0.003984853777137675
V309,0.0,-0.003860496137769534,0.003860496137769534
V333,0.0,0.0038454742042829415,0.0038454742042829415
V33,1.0,0.003816779828541902,0.003816779828541902
V332,0.0,0.0038151627938713137,0.0038151627938713137
V85,1.0,-0.003756169220734492,0.003756169220734492
V39,1.0,0.0037192942914437083,0.0037192942914437083
V336,0.0,0.003683688281381725,0.003683688281381725
V315,0.0,0.0036452767541283316,0.0036452767541283316
V291,1.0,0.0035598697526493532,0.0035598697526493532
V6,1.0,0.0035441334124100537,0.0035441334124100537
V50,1.0,-0.0035281267421996324,0.0035281267421996324
V8,1.0,0.003496821561673426,0.003496821561673426
V35,0.0,0.0033979421680025955,0.0033979421680025955
V96,2.0,0.003157634546865156,0.003157634546865156
V210,0.0,0.003110029393672692,0.003110029393672692
V127,98.96800231933594,0.0030965727207283187,0.0030965727207283187
M9,2.0,-0.0030937173484489097,0.0030937173484489097
V56,1.0,0.0030296573967901895,0.0030296573967901895
V82,1.0,-0.0030065983981394815,0.0030065983981394815
V59,1.0,-0.00298585263064694,0.00298585263064694
D6,0.0,0.0029560689274817768,0.0029560689274817768
V55,1.0,0.0029240657725128957,0.0029240657725128957
id_15,0.0,0.0029052984417957243,0.0029052984417957243
dist1,8.0,0.0028893756553034266,0.0028893756553034266
V11,0.0,0.0027543108951327507,0.0027543108951327507
V36,0.0,0.002645267270187167,0.002645267270187167
V61,1.0,0.002612628098123808,0.002612628098123808
V124,3.0,-0.002569621449659795,0.002569621449659795
V54,0.0,0.0025352212753683126,0.0025352212753683126
id_13,33.0,-0.0024805601643942857,0.0024805601643942857
V223,0.0,0.002473774138511541,0.002473774138511541
V224,2.0,-0.0024615769480613617,0.0024615769480613617
V134,98.96800231933594,0.0023619935540840596,0.0023619935540840596
D9,0.625,-0.002348885925512948,0.002348885925512948
V220,0.0,0.0022457019133983996,0.0022457019133983996
V139,1.0,0.002043816112301561,0.002043816112301561
V281,0.0,-0.0020358126336170166,0.0020358126336170166
V172,0.0,0.002024528330196931,0.002024528330196931
V212,445.3559875488281,0.0020225131525793668,0.0020225131525793668
V51,3.0,0.0020154849303469667,0.0020154849303469667
V203,445.3559875488281,-0.0019991978130145614,0.0019991978130145614
V135,0.0,0.0019726823376752917,0.0019726823376752917
D12,0.0,0.0019677390878652754,0.0019677390878652754
