feature,feature_value,shap_value,absolute_shap
C8,1.0,-0.014876798064874262,0.014876798064874262
M7,2.0,0.014369358742564073,0.014369358742564073
V294,0.0,-0.014259912061879466,0.014259912061879466
V165,0.0,0.01370438560038843,0.01370438560038843
D14,0.0,0.01334560556229866,0.01334560556229866
V285,0.0,0.013094489624052928,0.013094489624052928
C3,0.0,0.012444653899792763,0.012444653899792763
dist1,8.0,0.012400919964956673,0.012400919964956673
D9,0.8333330154418945,0.01230838947501627,0.01230838947501627
V62,1.0,-0.012039094120227899,0.012039094120227899
id_01,-5.0,-0.01189513055978054,0.01189513055978054
D10,15.0,-0.010823247068858687,0.010823247068858687
V317,0.0,-0.01070527176334021,0.01070527176334021
card3,150.0,-0.010618243863185862,0.010618243863185862
M3,2.0,-0.009577559841243154,0.009577559841243154
V130,0.0,0.009239853633075936,0.009239853633075936
D13,0.0,0.008697890870662531,0.008697890870662531
V75,1.0,0.00866588237328983,0.00866588237328983
C9,0.0,-0.008428810780831436,0.008428810780831436
V308,0.0,-0.008234501998871971,0.008234501998871971
V160,0.0,0.008163123782300363,0.008163123782300363
V281,0.0,-0.007915403572779723,0.007915403572779723
V55,1.0,0.00790526210120562,0.00790526210120562
D6,0.0,0.0076473018249619785,0.0076473018249619785
id_19,506.0,-0.00716754359236239,0.00716754359236239
V310,0.0,0.007138248628677249,0.007138248628677249
V201,1.0,-0.007123510927084553,0.007123510927084553
V19,1.0,-0.0067471210210222465,0.0067471210210222465
id_36,0.0,0.006547701414707103,0.006547701414707103
V283,1.0,-0.006347988075038319,0.006347988075038319
D5,10.0,0.00630989596704842,0.00630989596704842
V145,0.0,0.006131498318407604,0.006131498318407604
M2,2.0,-0.006096992883618316,0.006096992883618316
V128,0.0,-0.0057227870487256425,0.0057227870487256425
id_02,55574.0,0.005604135328765409,0.005604135328765409
V99,0.0,0.005397896163711366,0.005397896163711366
V187,1.0,-0.005038527635228647,0.005038527635228647
id_35,1.0,-0.0049307635992595,0.0049307635992595
V166,0.0,0.004913429808172435,0.004913429808172435
V291,1.0,0.004881687610079353,0.004881687610079353
V189,1.0,-0.004661099206427437,0.004661099206427437
V159,0.0,0.004651629888605248,0.004651629888605248
V20,1.0,-0.004475741367122662,0.004475741367122662
V169,0.0,0.004424283968692401,0.004424283968692401
M9,2.0,-0.004398637340578413,0.004398637340578413
V309,0.0,-0.0043300802347874855,0.0043300802347874855
V139,1.0,0.004237734043617494,0.004237734043617494
C10,1.0,-0.0042088659096590495,0.0042088659096590495
V91,0.0,0.004148334825435202,0.004148334825435202
V282,1.0,0.003938466888974509,0.003938466888974509
V23,1.0,0.0037744056847036343,0.0037744056847036343
V8,1.0,0.003576650474902141,0.003576650474902141
id_12,1.0,-0.0035151146361401485,0.0035151146361401485
V71,0.0,0.0035001394388416303,0.0035001394388416303
V212,0.0,-0.0034822318825788534,0.0034822318825788534
V131,0.0,-0.0034525606377598128,0.0034525606377598128
V2,1.0,0.003399624197452734,0.003399624197452734
V76,1.0,-0.0033309654676404,0.0033309654676404
V221,1.0,0.0031171160542338644,0.0031171160542338644
V164,0.0,0.003111309527396531,0.003111309527396531
V56,1.0,0.002943067524697543,0.002943067524697543
M1,2.0,0.002762395302411066,0.002762395302411066
V74,0.0,0.002724986042875978,0.002724986042875978
D12,0.0,0.0027232706191737113,0.0027232706191737113
C12,0.0,-0.002662836939629571,0.002662836939629571
V85,0.0,0.0026564637006115453,0.0026564637006115453
V87,1.0,-0.0026409208586012384,0.0026409208586012384
V12,1.0,0.0026269661620829175,0.0026269661620829175
V265,0.0,0.0026216208703214792,0.0026216208703214792
V143,0.0,-0.0025689943639389708,0.0025689943639389708
V78,1.0,0.002567370278676301,0.002567370278676301
V156,1.0,-0.002477127565460459,0.002477127565460459
V54,1.0,-0.002424123485481862,0.002424123485481862
V82,1.0,-0.0023251608688992895,0.0023251608688992895
V129,0.0,-0.0022675804193801256,0.0022675804193801256
V136,0.0,-0.0022572585442514823,0.0022572585442514823
V50,0.0,0.0022270023006182235,0.0022270023006182235
id_09,0.0,-0.0021450025868871387,0.0021450025868871387
V170,1.0,0.002130043259879668,0.002130043259879668
card4,4.0,0.0021132581047872937,0.0021132581047872937
V83,1.0,-0.0020528630173987546,0.0020528630173987546
V6,1.0,0.00205265238051761,0.00205265238051761
V11,0.0,0.0020432510849441687,0.0020432510849441687
V37,1.0,0.0019222379738870433,0.0019222379738870433
V332,0.0,0.0018380720496731938,0.0018380720496731938
V217,0.0,0.0017916084941749573,0.0017916084941749573
id_03,0.0,-0.0017715522496395272,0.0017715522496395272
V5,1.0,0.001748497258253536,0.001748497258253536
V135,0.0,0.0017053400082083874,0.0017053400082083874
V38,1.0,-0.0016886985924872311,0.0016886985924872311
V292,1.0,0.001648107693010803,0.001648107693010803
V268,0.0,0.0016175973849627283,0.0016175973849627283
V203,0.0,0.0015937209736812481,0.0015937209736812481
V24,1.0,0.001557166169672455,0.001557166169672455
V35,1.0,0.0015464138247810694,0.0015464138247810694
M8,2.0,0.0015455660453594757,0.0015455660453594757
V63,0.0,0.0015121078405146142,0.0015121078405146142
V124,1.0,0.0014759242944519713,0.0014759242944519713
id_28,0.0,-0.001428667974423732,0.001428667974423732
V179,0.0,0.001400663701341526,0.001400663701341526
V61,1.0,-0.0013777392171455392,0.0013777392171455392
V306,0.0,0.0012032515044302253,0.0012032515044302253
V36,1.0,-0.0012003560891144533,0.0012003560891144533
V67,1.0,-0.0011769735337744198,0.0011769735337744198
V133,0.0,-0.0011538876242267397,0.0011538876242267397
V101,0.0,0.0011471517550783676,0.0011471517550783676
V226,0.0,0.0011443828849394245,0.0011443828849394245
V311,0.0,-0.0011288300150976973,0.0011288300150976973
V184,0.0,0.0010933966984106429,0.0010933966984106429
V149,1.0,-0.0010716392035584324,0.0010716392035584324
V84,0.0,0.001070134238586393,0.001070134238586393
V339,0.0,0.0010628381037041772,0.0010628381037041772
V264,0.0,0.0010584406411443719,0.0010584406411443719
V315,0.0,0.0010571815690059078,0.0010571815690059078
V151,1.0,0.0010453534566670847,0.0010453534566670847
V152,1.0,-0.001015830751726187,0.001015830751726187
V33,0.0,-0.0010150966378297819,0.0010150966378297819
V4,1.0,-0.001007073172159978,0.001007073172159978
V127,0.0,0.0010039790281862226,0.0010039790281862226
V293,0.0,0.0009842681160886445,0.0009842681160886445
V324,0.0,0.000982059343814654,0.000982059343814654
V335,0.0,-0.0009705728107365047,0.0009705728107365047
V229,1.0,0.000948851957838588,0.000948851957838588
V224,0.0,0.0009301503738591791,0.0009301503738591791
V13,1.0,-0.0009127139147953766,0.0009127139147953766
V47,1.0,0.000898381617315243,0.000898381617315243
V326,0.0,0.0008926707000421294,0.0008926707000421294
V96,0.0,-0.0008835402494171935,0.0008835402494171935
V228,1.0,0.0008820578832764524,0.0008820578832764524
V77,1.0,0.0008382741715554393,0.0008382741715554393
V94,0.0,-0.0008372197008208485,0.0008372197008208485
V316,0.0,0.0008305377660588223,0.0008305377660588223
V140,1.0,0.0008236169173529091,0.0008236169173529091
V45,1.0,-0.0008206509925165384,0.0008206509925165384
id_11,100.0,-0.0008107117015726835,0.0008107117015726835
V253,1.0,-0.0008100454597552763,0.0008100454597552763
V307,0.0,-0.0007866048268522469,0.0007866048268522469
V220,0.0,0.000779163192220191,0.000779163192220191
V274,0.0,0.0007787923939179896,0.0007787923939179896
V338,0.0,0.000768158474817041,0.000768158474817041
V257,1.0,-0.0007526928023769134,0.0007526928023769134
V319,0.0,0.0007518730790003304,0.0007518730790003304
V90,0.0,-0.0007412199411332371,0.0007412199411332371
V271,0.0,-0.0007204689148800481,0.0007204689148800481
V289,0.0,0.0007171692562804109,0.0007171692562804109
V126,0.0,0.0007119213916961423,0.0007119213916961423
V10,0.0,0.0007079988975010255,0.0007079988975010255
id_32,24.0,-0.0007076342536444069,0.0007076342536444069
V167,0.0,0.0007071630339498264,0.0007071630339498264
V244,1.0,-0.0007045316886238101,0.0007045316886238101
V267,0.0,-0.000666414618614491,0.000666414618614491
V333,0.0,0.0006658732678182944,0.0006658732678182944
V25,1.0,0.0006656995373780763,0.0006656995373780763
V323,0.0,0.0006638340519753875,0.0006638340519753875
V246,1.0,-0.0006488322347111795,0.0006488322347111795
V261,1.0,-0.0006479464651767313,0.0006479464651767313
V318,0.0,-0.0006384832235119221,0.0006384832235119221
V157,1.0,0.0006383146632279089,0.0006383146632279089
V266,0.0,0.0006111129540555862,0.0006111129540555862
V44,1.0,0.0005980438880595768,0.0005980438880595768
V3,1.0,-0.0005827205972121971,0.0005827205972121971
V263,0.0,0.0005808019169628848,0.0005808019169628848
V206,0.0,0.0005763504723317086,0.0005763504723317086
V7,1.0,-0.0005748439917024339,0.0005748439917024339
V225,0.0,0.0005647505730043592,0.0005647505730043592
V329,0.0,0.0005518070769151288,0.0005518070769151288
V279,0.0,0.0005499226159141288,0.0005499226159141288
V51,0.0,0.0005490568642368926,0.0005490568642368926
V86,1.0,0.0005428012515444066,0.0005428012515444066
V109,1.0,-0.0005407409439005298,0.0005407409439005298
V336,0.0,-0.0005389213505251026,0.0005389213505251026
V69,0.0,0.0005359315691063312,0.0005359315691063312
V287,0.0,0.0005299638566148005,0.0005299638566148005
id_37,1.0,0.0005219920634353267,0.0005219920634353267
V251,1.0,-0.0005200055642248455,0.0005200055642248455
V321,0.0,0.0005184498654307939,0.0005184498654307939
V59,0.0,0.0005172141628058489,0.0005172141628058489
V286,0.0,0.0004988117100619147,0.0004988117100619147
V185,0.0,0.0004938392036656744,0.0004938392036656744
V57,0.0,0.0004726861224645283,0.0004726861224645283
V269,0.0,0.0004621005376926792,0.0004621005376926792
V111,1.0,-0.0004566470335998355,0.0004566470335998355
id_16,0.0,0.0004380790464304427,0.0004380790464304427
V9,1.0,-0.00043231124920576643,0.00043231124920576643
V275,0.0,0.0004208223663658201,0.0004208223663658201
V280,0.0,0.0004024914050271444,0.0004024914050271444
V34,0.0,-0.00038737094910323383,0.00038737094910323383
V150,1.0,-0.00037625923475220215,0.00037625923475220215
V299,0.0,0.00036968393122474233,0.00036968393122474233
V161,0.0,-0.0003568471582103103,0.0003568471582103103
V64,0.0,0.00035510751419711665,0.00035510751419711665
V208,0.0,0.00035306360513647547,0.00035306360513647547
V302,1.0,-0.00034496852216507563,0.00034496852216507563
V272,0.0,-0.0003423206173319105,0.0003423206173319105
V174,0.0,0.0003419391178585883,0.0003419391178585883
V40,0.0,-0.00033881154568832813,0.00033881154568832813
V162,0.0,-0.00033578670818949503,0.00033578670818949503
V79,0.0,-0.00032120457978886466,0.00032120457978886466
DeviceType,0.0,-0.00031902478097630554,0.00031902478097630554
V232,0.0,-0.00031508240761115165,0.00031508240761115165
V278,0.0,0.0003143393369244539,0.0003143393369244539
V95,0.0,0.00030340824176902854,0.00030340824176902854
V230,1.0,0.00029333042610239606,0.00029333042610239606
V223,0.0,0.00029270384868461743,0.00029270384868461743
V320,0.0,-0.0002896912291079285,0.0002896912291079285
V137,0.0,0.00028304612722607236,0.00028304612722607236
id_04,0.0,-0.00027764242148543833,0.00027764242148543833
V30,0.0,0.0002769921010682786,0.0002769921010682786
C7,0.0,-0.00027439842368681786,0.00027439842368681786
V255,1.0,0.0002728480506360832,0.0002728480506360832
V256,1.0,-0.000270852357957089,0.000270852357957089
V234,0.0,0.0002655699571660998,0.0002655699571660998
id_33,236.0,-0.00026406048685634543,0.00026406048685634543
V108,1.0,-0.0002613590564146817,0.0002613590564146817
V222,1.0,0.0002541467917985496,0.0002541467917985496
V26,1.0,0.00025260368375271586,0.00025260368375271586
V182,0.0,0.00025171043365205696,0.00025171043365205696
V105,0.0,0.00025141165079373053,0.00025141165079373053
V205,0.0,0.0002454621247720975,0.0002454621247720975
V58,0.0,0.0002383762130118497,0.0002383762130118497
V154,1.0,-0.00023572438818357684,0.00023572438818357684
V115,1.0,-0.00022308821916159512,0.00022308821916159512
V42,0.0,0.0002187138036836302,0.0002187138036836302
V295,0.0,0.00021854747210327602,0.00021854747210327602
V301,0.0,0.00021252712569906867,0.00021252712569906867
V102,0.0,-0.00020818098581983993,0.00020818098581983993
V207,0.0,-0.00020778043419858986,0.00020778043419858986
V92,0.0,0.000205704681774423,0.000205704681774423
V216,0.0,0.0002042718017270516,0.0002042718017270516
V103,0.0,0.00020153874751147258,0.00020153874751147258
V304,1.0,-0.00019990264324693804,0.00019990264324693804
V114,1.0,0.0001977792640772522,0.0001977792640772522
V245,1.0,-0.00018746519252362326,0.00018746519252362326
V81,0.0,0.0001821512043052597,0.0001821512043052597
V303,1.0,0.00018209823060483073,0.00018209823060483073
V80,0.0,-0.0001800451449052986,0.0001800451449052986
V209,0.0,0.0001754456227991154,0.0001754456227991154
V249,1.0,-0.0001663146426762999,0.0001663146426762999
V192,1.0,-0.00016229245693343924,0.00016229245693343924
V290,1.0,0.00016079334752515286,0.00016079334752515286
V276,0.0,0.0001593990132584479,0.0001593990132584479
V158,1.0,0.00015875415297604691,0.00015875415297604691
V134,0.0,0.00015720533118445892,0.00015720533118445892
V328,0.0,0.00015223294952890285,0.00015223294952890285
V171,1.0,0.0001518728944893424,0.0001518728944893424
V73,0.0,0.000151387903654389,0.000151387903654389
V49,0.0,-0.00015006217682156495,0.00015006217682156495
V147,0.0,-0.00014642292365727797,0.00014642292365727797
V66,1.0,0.00014350220443264559,0.00014350220443264559
V60,0.0,0.00014329651938818435,0.00014329651938818435
